
省份	区站号	站名	纬度	经度	气压传感器拔海高度(米)	观测场拔海高度(米)
辽宁	54493	宽甸	4071	12478	261.3	260.1
辽宁	54494	凤城	4047	12405	73.8	72.6
辽宁	54497	丹东	4003	12433	15.0	13.8
辽宁	54563	瓦房店	3963	12201	119.9	119
辽宁	54565	长兴岛	3960	12147	71.8	71
辽宁	54568	金州	3907	12176	92.0	91
辽宁	54569	普兰店	3942	12194	12.9	11.7
辽宁	54575	皮口	3940	12234	42.4	41.2
辽宁	54579	长海	3927	12259	23.4	22.2
辽宁	54584	庄河	3971	12295	36.0	34.8
辽宁	54590	东港	3992	12415	4.9	3.7
辽宁	54662	大连	3891	12164	92.7	91.5
吉林	50936	白城	4561	12280	156.7	155.5
吉林	50939	洮南	4535	12276	151.2	150.0
吉林	50940	镇赉	4585	12317	141.9	140.7
吉林	50945	大安	4551	12424	148.5	147.3
吉林	50946	松原	4517	12485	140.9	139.7
吉林	50948	乾安	4499	12401	149.8	148.6
吉林	50949	前郭	4509	12487	137.9	136.4
吉林	54041	通榆	4480	12305	151.7	150.2
吉林	54049	长岭	4428	12397	195.8	194.6
吉林	54063	扶余	4496	12600	216.1	214.9
吉林	54064	农安	4440	12516	171.6	170.4
吉林	54065	德惠	4454	12566	169.5	168.3
吉林	54069	九台	4412	12580	174.9	173.7
吉林	54072	榆树	4485	12652	196.4	195.2
吉林	54076	舒兰	4439	12693	269.0	267.8
吉林	54142	双辽	4351	12344	119.6	118.4
吉林	54154	梨树	4331	12431	160.9	159.7
吉林	54155	孤家子	4366	12424	146.0	144.8
吉林	54157	四平	4312	12439	181.2	180.0
吉林	54161	长春	4389	12523	238.0	236.8
吉林	54164	伊通	4335	12532	249.3	248.1
吉林	54165	双阳	4355	12564	220.0	218.8
吉林	54169	烟筒山	4329	12601	272.7	271.5
吉林	54171	永吉	4368	12652	231.0	229.8
吉林	54172	吉林城郊	4386	12654	291.6	290.4
吉林	54181	蛟河	4370	12733	297.0	295.8
吉林	54186	敦化	4337	12821	527.3	526.1
吉林	54187	安图	4311	12891	367.8	366.6
吉林	54192	罗子沟	4373	13033	410.9	409.7
吉林	54195	汪清	4330	12979	274.2	273.0
吉林	54260	辽源	4291	12508	254.2	253.0
吉林	54261	东丰	4267	12547	345.7	344.5
吉林	54263	磐石	4296	12608	352.4	351.2
吉林	54266	梅河口	4253	12566	343.3	342.1
吉林	54267	柳河	4227	12572	384.3	383.1
吉林	54273	桦甸	4298	12676	 	263.3
吉林	54274	辉南	4269	12599	308.4	307.2
吉林	54276	靖宇	4240	12679	571.1	569.9
吉林	54279	江源	4206	12658	 	579.1
吉林	54284	东岗	4215	12750	777.6	776.4
吉林	54285	二道	4240	12813	732.9	731.7
 

吉林	54286	和龙	4253	12900	504.7	503.5
吉林	54290	龙井	4277	12940	246.9	245.7
吉林	54291	珲春	4279	13035	44.6	43.4
吉林	54292	延吉	 	12950	259.2	258.0
吉林	54293	图们	4295	12983	143.6	142.4
吉林	54362	通化县	4167	12574	381.3	380.1
吉林	54363	通化	 	12592	404.0	402.8
吉林	54371	白山	4194	12644	523.9	522.7
吉林	54374	临江	4180	12690	382.3	381.1
吉林	54377	 	4115	12622	226.7	225.5
吉林	54386	长白	4143	12820	811.3	810.1
黑龙江	50136	漠河	5297	12251	435.1	433.9
黑龙江	 	北极村	5347	12236	292.8	291.6
黑龙江	50246	塔河	5235	12472	360.6	359.4
黑龙江	50247	呼中	5204	12357	515.7	514.5
黑龙江	50349	新林	5167	12439	502.7	501.5
黑龙江	50353	呼玛	5173	12664	175.1	173.9
黑龙江	50442	加格达奇	5039	12411	273.5	272.3
黑龙江	50468	爱辉	5025	12746	167.6	166.4
黑龙江	50557	嫩江	4916	12523	243.4	242.2
黑龙江	50564	孙吴	4942	12733	235.3	234.1
黑龙江	50566	逊克	4957	12848	117.2	116.0
黑龙江	50646	讷河	4850	12488	231.8	230.6
黑龙江	50655	五大连池	4850	12619	273.1	271.9
黑龙江	50656	北安	4826	12651	279.6	278.4
黑龙江	50658	克山	4808	12579	292.2	291.0
黑龙江	50659	克东	4805	12624	298.2	297.0
黑龙江	50673	嘉荫	4889	13041	91.2	90.0
黑龙江	50674	乌伊岭	4858	12944	405.7	404.5
黑龙江	50739	龙江	4730	12325	206.0	204.8
黑龙江	50741	甘南	4791	12351	186.4	185.2
黑龙江	50742	富裕	4779	12448	163.9	162.7
黑龙江	50745	齐齐哈尔	4738	12392	147.9	146.7
黑龙江	50749	林甸	4719	12485	155.1	153.9
黑龙江	50750	依安	4790	12529	226.2	225.0
黑龙江	50755	拜泉	4762	12607	251.0	249.8
黑龙江	50756	海伦	4745	12688	220.9	219.7
黑龙江	50758	明水	4715	12589	241.2	240.0
黑龙江	50767	绥棱	4723	12711	203.9	202.7
黑龙江	50772	五营	4811	12924	298.0	296.8
黑龙江	50774	伊春	4771	12884	266.0	264.8
黑龙江	50775	鹤岗	4734	13020	183.5	182.3
黑龙江	50776	萝北	4757	13083	84.5	83.3
黑龙江	50778	同江	4766	13254	58.7	57.5
黑龙江	50779	抚远	4835	13442	39.3	38.1
黑龙江	50787	绥滨	4731	13184	61.2	60.0
黑龙江	50788	富锦	4723	13200	67.6	66.4
黑龙江	50842	杜蒙	4684	12442	145.5	144.3
黑龙江	50844	泰来	4640	12345	136.1	134.9
黑龙江	50850	大庆	4662	12499	153.8	152.3
黑龙江	50851	青冈	4669	12609	208.6	207.4
黑龙江	50852	望奎	4675	12650	177.9	176.7
黑龙江	50853	北林	4662	12697	180.8	179.6

黑龙江	50854	安达	4639	12532	150.5	149.3
黑龙江	50858	肇东	4602	12581	160.7	159.5
黑龙江	50859	兰西	4629	12628	170.5	169.3
黑龙江	50861	庆安	4689	12748	183.6	182.4
黑龙江	50862	铁力	4699	12799	208.5	207.3
黑龙江	50867	巴彦	4606	12739	135.2	134.0
黑龙江	50871	汤原	4673	12988	96.3	95.1
黑龙江	50873	佳木斯	4679	13031	83.2	82.0
黑龙江	50877	依兰	4630	12958	101.3	100.1
黑龙江	50878	桦川	4699	13073	76.4	75.2
黑龙江	50879	桦南	4623	13056	188.2	187.0
